"scenario","bots","trial","result","actor","start_tick","end_tick","replan_request_us","replan_start_us","log","reason"
"wall","1","1","NOT_RUN","","","","","","",""
"wall","1","2","NOT_RUN","","","","","","",""
"wall","1","3","NOT_RUN","","","","","","",""
"wall","1","4","NOT_RUN","","","","","","",""
"wall","1","5","NOT_RUN","","","","","","",""
"wall","1","6","NOT_RUN","","","","","","",""
"wall","1","7","NOT_RUN","","","","","","",""
"wall","1","8","NOT_RUN","","","","","","",""
"wall","1","9","NOT_RUN","","","","","","",""
"wall","1","10","NOT_RUN","","","","","","",""
"wall","2","1","NOT_RUN","","","","","","",""
"wall","2","2","NOT_RUN","","","","","","",""
"wall","2","3","NOT_RUN","","","","","","",""
"wall","2","4","NOT_RUN","","","","","","",""
"wall","2","5","NOT_RUN","","","","","","",""
"wall","2","6","NOT_RUN","","","","","","",""
"wall","2","7","NOT_RUN","","","","","","",""
"wall","2","8","NOT_RUN","","","","","","",""
"wall","2","9","NOT_RUN","","","","","","",""
"wall","2","10","NOT_RUN","","","","","","",""
"downhill","1","1","NOT_RUN","","","","","","",""
"downhill","1","2","NOT_RUN","","","","","","",""
"downhill","1","3","NOT_RUN","","","","","","",""
"downhill","1","4","NOT_RUN","","","","","","",""
"downhill","1","5","NOT_RUN","","","","","","",""
"downhill","1","6","NOT_RUN","","","","","","",""
"downhill","1","7","NOT_RUN","","","","","","",""
"downhill","1","8","NOT_RUN","","","","","","",""
"downhill","1","9","NOT_RUN","","","","","","",""
"downhill","1","10","NOT_RUN","","","","","","",""
"downhill","2","1","NOT_RUN","","","","","","",""
"downhill","2","2","NOT_RUN","","","","","","",""
"downhill","2","3","NOT_RUN","","","","","","",""
"downhill","2","4","NOT_RUN","","","","","","",""
"downhill","2","5","NOT_RUN","","","","","","",""
"downhill","2","6","NOT_RUN","","","","","","",""
"downhill","2","7","NOT_RUN","","","","","","",""
"downhill","2","8","NOT_RUN","","","","","","",""
"downhill","2","9","NOT_RUN","","","","","","",""
"downhill","2","10","NOT_RUN","","","","","","",""
"stairs","1","1","NOT_RUN","","","","","","",""
"stairs","1","2","NOT_RUN","","","","","","",""
"stairs","1","3","NOT_RUN","","","","","","",""
"stairs","1","4","NOT_RUN","","","","","","",""
"stairs","1","5","NOT_RUN","","","","","","",""
"stairs","1","6","NOT_RUN","","","","","","",""
"stairs","1","7","NOT_RUN","","","","","","",""
"stairs","1","8","NOT_RUN","","","","","","",""
"stairs","1","9","NOT_RUN","","","","","","",""
"stairs","1","10","NOT_RUN","","","","","","",""
"stairs","2","1","NOT_RUN","","","","","","",""
"stairs","2","2","NOT_RUN","","","","","","",""
"stairs","2","3","NOT_RUN","","","","","","",""
"stairs","2","4","NOT_RUN","","","","","","",""
"stairs","2","5","NOT_RUN","","","","","","",""
"stairs","2","6","NOT_RUN","","","","","","",""
"stairs","2","7","NOT_RUN","","","","","","",""
"stairs","2","8","NOT_RUN","","","","","","",""
"stairs","2","9","NOT_RUN","","","","","","",""
"stairs","2","10","NOT_RUN","","","","","","",""
"obstacle_jump","1","1","NOT_RUN","","","","","","",""
"obstacle_jump","1","2","NOT_RUN","","","","","","",""
"obstacle_jump","1","3","NOT_RUN","","","","","","",""
"obstacle_jump","1","4","NOT_RUN","","","","","","",""
"obstacle_jump","1","5","NOT_RUN","","","","","","",""
"obstacle_jump","1","6","NOT_RUN","","","","","","",""
"obstacle_jump","1","7","NOT_RUN","","","","","","",""
"obstacle_jump","1","8","NOT_RUN","","","","","","",""
"obstacle_jump","1","9","NOT_RUN","","","","","","",""
"obstacle_jump","1","10","NOT_RUN","","","","","","",""
"obstacle_jump","2","1","NOT_RUN","","","","","","",""
"obstacle_jump","2","2","NOT_RUN","","","","","","",""
"obstacle_jump","2","3","NOT_RUN","","","","","","",""
"obstacle_jump","2","4","NOT_RUN","","","","","","",""
"obstacle_jump","2","5","NOT_RUN","","","","","","",""
"obstacle_jump","2","6","NOT_RUN","","","","","","",""
"obstacle_jump","2","7","NOT_RUN","","","","","","",""
"obstacle_jump","2","8","NOT_RUN","","","","","","",""
"obstacle_jump","2","9","NOT_RUN","","","","","","",""
"obstacle_jump","2","10","NOT_RUN","","","","","","",""
"oscillation","1","1","NOT_RUN","","","","","","",""
"oscillation","1","2","NOT_RUN","","","","","","",""
"oscillation","1","3","NOT_RUN","","","","","","",""
"oscillation","1","4","NOT_RUN","","","","","","",""
"oscillation","1","5","NOT_RUN","","","","","","",""
"oscillation","1","6","NOT_RUN","","","","","","",""
"oscillation","1","7","NOT_RUN","","","","","","",""
"oscillation","1","8","NOT_RUN","","","","","","",""
"oscillation","1","9","NOT_RUN","","","","","","",""
"oscillation","1","10","NOT_RUN","","","","","","",""
"oscillation","2","1","NOT_RUN","","","","","","",""
"oscillation","2","2","NOT_RUN","","","","","","",""
"oscillation","2","3","NOT_RUN","","","","","","",""
"oscillation","2","4","NOT_RUN","","","","","","",""
"oscillation","2","5","NOT_RUN","","","","","","",""
"oscillation","2","6","NOT_RUN","","","","","","",""
"oscillation","2","7","NOT_RUN","","","","","","",""
"oscillation","2","8","NOT_RUN","","","","","","",""
"oscillation","2","9","NOT_RUN","","","","","","",""
"oscillation","2","10","NOT_RUN","","","","","","",""
"replan","1","1","NOT_RUN","","","","","","",""
"replan","1","2","NOT_RUN","","","","","","",""
"replan","1","3","NOT_RUN","","","","","","",""
"replan","1","4","NOT_RUN","","","","","","",""
"replan","1","5","NOT_RUN","","","","","","",""
"replan","1","6","NOT_RUN","","","","","","",""
"replan","1","7","NOT_RUN","","","","","","",""
"replan","1","8","NOT_RUN","","","","","","",""
"replan","1","9","NOT_RUN","","","","","","",""
"replan","1","10","NOT_RUN","","","","","","",""
"replan","2","1","NOT_RUN","","","","","","",""
"replan","2","2","NOT_RUN","","","","","","",""
"replan","2","3","NOT_RUN","","","","","","",""
"replan","2","4","NOT_RUN","","","","","","",""
"replan","2","5","NOT_RUN","","","","","","",""
"replan","2","6","NOT_RUN","","","","","","",""
"replan","2","7","NOT_RUN","","","","","","",""
"replan","2","8","NOT_RUN","","","","","","",""
"replan","2","9","NOT_RUN","","","","","","",""
"replan","2","10","NOT_RUN","","","","","","",""
